neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,latitude,longitude
Other Cities,Pasadena,Entire home/apt,233,1,3,34.1426,-118.10003
City of Los Angeles,Echo Park,Entire home/apt,97,31,63,34.07937,-118.26531
City of Los Angeles,Mid-City,Private room,85,30,6,34.03702,-118.37824
Queen Anne,North Queen Anne,Entire home/apt,198,2,62,47.65057,-122.37337
Unknown,District 19,Entire home/apt,200,3,0,36.14854,-86.79419
Other Cities,Burbank,Entire home/apt,202,1,23,34.18161,-118.359
Unknown,Uptown,Entire home/apt,108,1,212,41.97397,-87.67147
Manhattan,Murray Hill,Entire home/apt,200,30,1,40.74499,-73.97565
Unknown,Unincorporated Areas,Entire home/apt,34,30,21,36.10508,-115.14867
Unknown,78757,Private room,80,1,2,30.33803,-97.73657
Unknown,Goldsmith,Entire home/apt,178,2,11,39.67627,-104.92747
Unknown,"Georgetown, Burleith/Hillandale",Private room,97,31,221,38.90573,-77.0601
Unknown,District 17,Entire home/apt,211,2,2,36.14617,-86.78073
Other Cities,Long Beach,Entire home/apt,222,2,81,33.77198,-118.1784
Brooklyn,Fort Hamilton,Private room,50,30,10,40.61752,-74.03288
Other Cities,Arcadia,Private room,119,2,14,34.10953,-118.04053
Unknown,78759,Private room,39,1,0,30.413598734272167,-97.71087707104016
Washington,South Kingstown,Entire home/apt,195,3,62,41.37398,-71.54433
Unincorporated Areas,Topanga,Entire home/apt,574,2,0,34.04377263119797,-118.56890722813029
Manhattan,East Harlem,Entire home/apt,150,3,110,40.7959,-73.93682
Unknown,78748,Entire home/apt,1514,2,79,30.14354,-97.81391
Brooklyn,Prospect-Lefferts Gardens,Private room,70,30,75,40.66109,-73.94299
Unknown,Mission Bay,Entire home/apt,923,5,3,32.76354,-117.25153
Unknown,Hennepin,Entire home/apt,62,1,702,44.92661,-93.22138
Unknown,78704,Entire home/apt,200,200,1,30.23413,-97.76134
Unknown,La Jolla,Entire home/apt,1249,2,51,32.82223,-117.2731
Unknown,City of Las Vegas,Private room,595,1,0,36.17139,-115.14604
Cascade,Eastlake,Entire home/apt,300,2,165,47.6393,-122.32341
Manhattan,Upper West Side,Entire home/apt,200,30,5,40.79879,-73.95972
Other Cities,Long Beach,Entire home/apt,160,1,0,33.76574,-118.19562
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,102,3,21,40.66186,-73.95039
Unknown,East Cambridge,Private room,116,3,221,42.37024,-71.08245
Unknown,Unincorporated Areas,Private room,207,4,0,36.11654,-115.16316
Manhattan,Upper West Side,Private room,121,30,0,40.800533741545244,-73.96383827319515
Brooklyn,Williamsburg,Entire home/apt,156,1,113,40.70765,-73.94983
Manhattan,SoHo,Entire home/apt,245,30,0,40.72559,-74.00093
Unknown,78704,Private room,71,2,13,30.23709,-97.7625
Unknown,Rancho Penasquitos,Private room,60,1,187,32.97317,-117.12568
Central Area,Madrona,Entire home/apt,279,3,25,47.607197,-122.283623
Unknown,Hollygrove,Entire home/apt,314,3,10,29.96846,-90.12438
Brooklyn,Crown Heights,Entire home/apt,650,1,0,40.67082,-73.91754
City of Los Angeles,Sherman Oaks,Private room,89,30,0,34.16229,-118.45623
Unknown,Pearl,Entire home/apt,114,30,3,45.53052,-122.68333
City of Los Angeles,Valley Glen,Entire home/apt,457,30,17,34.18124,-118.41771
Unknown,District 19,Entire home/apt,240,1,170,36.15602,-86.77635
Other Cities,West Hollywood,Entire home/apt,150,15,0,34.09204,-118.3708
Unknown,South San Francisco,Private room,75,2,1,37.65364,-122.43126
City of Los Angeles,Mid-Wilshire,Entire home/apt,90,30,4,34.06502,-118.34846
Unknown,Oakmore,Entire home/apt,350,3,7,37.81602,-122.20898
Brooklyn,Crown Heights,Entire home/apt,375,3,12,40.6682788,-73.9295505
Brooklyn,Sheepshead Bay,Private room,77,2,13,40.5866,-73.95325
Unknown,Armour Square,Entire home/apt,800,32,0,41.85343,-87.63722
Unknown,78729,Entire home/apt,149,1,30,30.43992,-97.76915
Unknown,28704,Entire home/apt,107,2,38,35.45917,-82.49992
Unknown,78731,Entire home/apt,101,1,1,30.31045107111651,-97.74964982039742
Unknown,Unincorporated Areas,Private room,78,3,62,36.01585,-115.22564
Unincorporated Areas,Marina del Rey,Private room,139,1,3,33.97923,-118.45582
Unknown,Bernal Heights,Entire home/apt,170,4,3,37.74703,-122.41887
Unknown,Downtown/Civic Center,Private room,119,1,5,37.78794,-122.40773
Unknown,Chinatown,Entire home/apt,211,29,0,42.352093,-71.06081
Unknown,78701,Entire home/apt,630,2,2,30.27096,-97.74823
Unknown,Hollywood,Entire home/apt,271,1,9,25.98787,-80.11746
Unknown,Daly City,Entire home/apt,810,2,182,37.70403,-122.46795
Unknown,District 20,Entire home/apt,165,1,0,36.15964,-86.85904
Unknown,Mid-Cambridge,Entire home/apt,298,2,114,42.37522,-71.11034
Manhattan,Upper East Side,Entire home/apt,150,1,10,40.77454789999999,-73.95161920000001
Unknown,Fort Lauderdale,Entire home/apt,328,4,33,26.145936965942383,-80.15889739990234
Other Cities,Inglewood,Entire home/apt,309,31,18,33.9768,-118.36654
Unknown,Half Moon Bay,Entire home/apt,177,1,338,37.45363,-122.43962
Interbay,Interbay,Entire home/apt,1400,2,0,47.63954795993825,-122.37616219023968
Unknown,District 15,Entire home/apt,148,2,0,36.22106,-86.70428
Manhattan,Upper East Side,Entire home/apt,89,20,60,40.7848,-73.94995
Manhattan,Washington Heights,Private room,94,5,0,40.84793118032002,-73.93499813952006
Unknown,Dorchester,Entire home/apt,125,30,1,42.28787,-71.06692
Brooklyn,Williamsburg,Entire home/apt,376,1,35,40.7122565,-73.96625019999999
Unknown,78701,Entire home/apt,75,1,0,30.27162,-97.7474
Unknown,Unincorporated Areas,Entire home/apt,42,20,0,36.11772,-115.20658
Unknown,South Shore,Private room,43,1,0,41.76381,-87.57841
Unknown,Pacific Beach,Entire home/apt,146,4,328,32.80259,-117.24146
Manhattan,Harlem,Entire home/apt,180,28,11,40.82585,-73.94524
Unknown,Milpitas,Entire home/apt,200,2,0,37.42287,-121.90976
City of Los Angeles,Downtown,Entire home/apt,77,31,3,34.02666,-118.22961
Unknown,Mission Bay,Entire home/apt,342,3,13,32.78272,-117.25192
Queens,Elmhurst,Private room,31,30,1,40.74515,-73.87187
Unknown,Grant Hill,Entire home/apt,175,3,163,32.71094,-117.14412
Unknown,District 11,Entire home/apt,101,30,0,36.20343,-86.61023
Manhattan,Upper East Side,Private room,175,30,0,40.77065,-73.95702
Unknown,Sunnyvale,Entire home/apt,176,2,46,37.37032,-122.00988
Unknown,Adams Point,Entire home/apt,131,2,7,37.8103,-122.25641
Other Cities,Glendale,Entire home/apt,110,29,8,34.150230407714844,-118.25170135498048
Unknown,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire home/apt,220,31,0,38.90269,-77.0241
Brooklyn,Crown Heights,Private room,59,30,2,40.67736,-73.94311
Unknown,Mission Bay,Entire home/apt,1041,3,0,32.77398,-117.25026
Unknown,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,158,4,2,38.917630054319005,-77.0416153641655
Unknown,Unincorporated Areas,Entire home/apt,174,2,52,36.12485,-115.23378
Unknown,Scott,Entire home/apt,130,1,2,44.62077,-93.29296
Unknown,Hollywood,Entire home/apt,292,5,9,26.007116,-80.134911
Unknown,Lauderhill,Private room,75,5,0,26.19225,-80.26443
Unknown,Fort Lauderdale,Entire home/apt,1003,5,30,26.14587,-80.12802
Brooklyn,Williamsburg,Entire home/apt,225,4,3,40.70935,-73.95278
Queens,Astoria,Private room,55,4,60,40.77338,-73.9225
Other neighborhoods,Crown Hill,Private room,90,30,21,47.70073,-122.36671
City of Los Angeles,Westwood,Entire home/apt,235,6,71,34.06868,-118.43162
Unknown,Unincorporated Areas,Private room,141,1,0,36.10443,-115.25883
Unknown,Eastmoor/Walnut Ridge,Entire home/apt,286,2,1,39.9548521,-82.92186559999999
Brooklyn,Prospect Heights,Private room,65,30,152,40.6741,-73.96838
Other Cities,El Monte,Entire home/apt,227,3,21,34.05702,-118.05628
Brooklyn,Gravesend,Entire home/apt,163,4,20,40.59992,-73.97578
Unknown,Oak Park,Entire home/apt,227,2,109,32.74395,-117.05791
Unknown,Santa Clara,Private room,47,1,56,37.35611,-121.97572
Other Cities,Walnut,Private room,48,7,46,34.0068,-117.86495
Other Cities,Walnut,Private room,84,1,1,34.01974,-117.88208
Unknown,District 21,Entire home/apt,541,1,22,36.1559,-86.83417
Brooklyn,Williamsburg,Private room,80,30,35,40.71872,-73.95168
Unknown,Parkside,Entire home/apt,133,2,43,37.7401,-122.50589
Unknown,District 21,Entire home/apt,203,3,3,36.14425,-86.8182
Queens,Elmhurst,Private room,40,30,2,40.7404828,-73.88390629999999
Unknown,Old Town/Chinatown,Entire home/apt,100,1,0,45.5255315,-122.6753086
Other neighborhoods,Fremont,Entire home/apt,323,3,58,47.66428,-122.36009
Manhattan,Washington Heights,Entire home/apt,214,30,1,40.83758,-73.94844
Manhattan,Upper East Side,Entire home/apt,413,1,0,40.778574472325474,-73.95131928654176
City of Los Angeles,Sherman Oaks,Private room,99,30,0,34.16233,-118.45468
Unknown,78752,Entire home/apt,111,1,2,30.32138140655836,-97.71232872645427
Unknown,Jefferson Park,Private room,159,1,52,39.74866,-105.02155
Unknown,Sullivan's Gulch,Entire home/apt,143,2,0,45.533352054510566,-122.6382476142441
Unknown,Buckman,Entire home/apt,175,2,43,45.51336,-122.64273
Unknown,Western Addition,Entire home/apt,120,30,41,37.77743,-122.42502
Unknown,Hollygrove,Entire home/apt,89,30,6,29.96345,-90.12349
Unknown,Santa Clara,Private room,65,27,0,37.36557868195794,-121.97085834212044
City of Los Angeles,Los Feliz,Entire home/apt,285,30,2,34.11049,-118.28008
Manhattan,Tribeca,Entire home/apt,285,30,1,40.71962,-74.00524
Unknown,Gaslamp Quarter,Private room,480,1,0,32.71539,-117.16088
Unknown,East Village,Entire home/apt,116,1,16,32.71398,-117.1562
Unknown,Pacific Grove,Entire home/apt,100,30,2,36.61695,-121.92469
Unknown,Hennepin,Entire home/apt,92,30,82,44.99898,-93.23981
Unknown,District 6,Entire home/apt,127,1,288,36.18053,-86.73977
Unknown,78701,Entire home/apt,299,2,1,30.27196,-97.74846
City of Los Angeles,Hollywood Hills West,Entire home/apt,400,30,144,34.10766,-118.37301
Queens,Far Rockaway,Private room,52,1,0,40.5979873,-73.7561801
Unknown,District 29,Private room,89,30,1,36.09433,-86.61394
Other neighborhoods,Windermere,Entire home/apt,180,30,0,47.66264,-122.27454
Unknown,Fort Lauderdale,Entire home/apt,88,3,17,26.11901,-80.18915
Unknown,Unincorporated Areas,Private room,204,3,22,36.09912,-115.16636
Brooklyn,Canarsie,Entire home/apt,115,7,1,40.6449,-73.88996
Unknown,Hallandale Beach,Entire home/apt,106,1,5,25.98653,-80.12369
Queens,Long Island City,Entire home/apt,136,30,2,40.766646312153,-73.9344571530819
Unincorporated Areas,Marina del Rey,Entire home/apt,142,1,0,33.984193564949244,-118.45758091089586
Unknown,Hennepin,Private room,27,30,0,44.98654,-93.21836
Brooklyn,East New York,Entire home/apt,124,1,21,40.6634125,-73.8870091
Unknown,Central Business District,Entire home/apt,158,2,0,29.95134688715381,-90.06827616562705
Brooklyn,Bedford-Stuyvesant,Entire home/apt,180,5,42,40.68199,-73.92544
Manhattan,Murray Hill,Private room,165,30,0,40.74415,-73.97322
Brooklyn,Clinton Hill,Entire home/apt,108,30,16,40.68252,-73.96543
Unknown,West Town,Private room,25,32,0,41.91080448014424,-87.67458394299958
Unknown,Outer Sunset,Private room,79,30,0,37.75761,-122.48117
City of Los Angeles,Jefferson Park,Entire home/apt,262,1,39,34.02591,-118.33039
Unknown,28805,Private room,120,1,387,35.59957,-82.49938
Unknown,District 15,Private room,62,1,59,36.1781,-86.67064
City of Los Angeles,Sherman Oaks,Entire home/apt,154,2,290,34.15868,-118.45172
Brooklyn,Bedford-Stuyvesant,Private room,40,30,0,40.68666,-73.95426
Unknown,Clintonville,Entire home/apt,242,2,30,40.04876,-83.02391
City of Los Angeles,Hollywood,Entire home/apt,105,31,64,34.10104,-118.34739
Unknown,Mission Bay,Entire home/apt,589,5,38,32.78791,-117.25396
Unknown,Western Addition,Entire home/apt,468,3,31,37.77056,-122.42956
Unknown,Hennepin,Entire home/apt,75,2,46,45.02695,-93.24819
Brooklyn,South Slope,Entire home/apt,250,4,36,40.6637,-73.98301
Unknown,"Shaw, Logan Circle",Private room,114,1,147,38.91029,-77.02243
Unknown,Outer Sunset,Entire home/apt,1264,5,7,37.75793,-122.49741
Unknown,Downtown,Entire home/apt,124,1,47,42.35154,-71.06516
Unknown,Marina,Entire home/apt,100,30,7,37.80401,-122.4387
Manhattan,West Village,Entire home/apt,249,2,18,40.73661,-74.00945
Unknown,City of Las Vegas,Entire home/apt,97,2,2,36.16769499999999,-115.0840838
Brooklyn,Bedford-Stuyvesant,Private room,32,30,6,40.69492,-73.94955
Unknown,Midtown,Entire home/apt,108,2,0,32.73334749831328,-117.16432997301636
Central Area,Minor,Entire home/apt,193,1,7,47.61246622540609,-122.31585213355147
Unknown,Anoka,Private room,55,2,55,45.13047,-93.2905
Unknown,78704,Entire home/apt,130,14,24,30.24316,-97.77992
Unknown,City of Las Vegas,Entire home/apt,144,31,135,36.16581,-115.13574
Brooklyn,Greenpoint,Entire home/apt,150,14,3,40.72965,-73.95426
City of Los Angeles,East Hollywood,Entire home/apt,105,30,20,34.08345,-118.30882
Unknown,78702,Entire home/apt,332,2,60,30.26533,-97.71735
Unknown,Humboldt Park,Private room,47,32,6,41.88957,-87.71704
Unknown,Unincorporated Areas,Private room,49,30,2,36.02089,-115.22621
Unknown,Near South,Private room,37,14,6,39.94936,-82.95726
Unknown,San Jose,Private room,55,1,32,37.32766,-121.8864
Unknown,City of Henderson,Entire home/apt,151,1,9,36.10148,-114.9288
Unknown,Anoka,Private room,38,3,22,45.04835,-93.23539
Manhattan,Theater District,Hotel room,358,1,1,40.75544,-73.98837
City of Los Angeles,East Hollywood,Private room,21,30,0,34.09731,-118.3044
Unknown,Presidio Heights,Entire home/apt,99,30,20,37.78361,-122.45416
Unknown,Central City,Entire home/apt,189,1,6,29.9306,-90.08649
Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,5,20,40.68252,-73.9499
Brooklyn,Bushwick,Private room,39,3,13,40.70796,-73.92129
Unknown,Montbello,Private room,30,29,5,39.78608,-104.83722
Unknown,West Town,Entire home/apt,116,2,31,41.89657,-87.69596
Unknown,Eastmont Hills,Entire home/apt,320,1,0,37.772746891562505,-122.16797699989884
Unknown,Burlingame,Entire home/apt,178,31,0,37.5811007,-122.3423923
Other Cities,San Dimas,Entire home/apt,155,3,76,34.11462,-117.81593
Unknown,San Jose,Entire home/apt,800,3,2,37.24098,-121.80824
Unknown,Hollywood,Entire home/apt,200,30,1,25.98952,-80.11876
Newport,Newport,Private room,150,2,20,41.47216,-71.31424
City of Los Angeles,Hollywood Hills West,Entire home/apt,130,30,0,34.11332,-118.36296
Unknown,78753,Private room,169,1,1,30.34793,-97.69972
Unknown,Hollywood,Entire home/apt,1202,1,0,25.98655,-80.12089
Other Cities,Arcadia,Private room,60,1,7,34.11408,-118.05541
Brooklyn,Fort Greene,Entire home/apt,239,2,100,40.69366,-73.9712
Unknown,78741,Entire home/apt,45,2,82,30.23822,-97.73239
Unknown,Pompano Beach,Entire home/apt,226,1,11,26.25925,-80.1073
Unknown,Lake View,Entire home/apt,69,1,3,41.93774,-87.64519
Unknown,City of Henderson,Entire home/apt,80,30,2,36.10182,-114.92882
Unknown,District 2,Private room,112,1,1,36.19389,-86.83301
Unknown,78701,Entire home/apt,155,1,275,30.26904,-97.73656
Bronx,Williamsbridge,Private room,50,1,14,40.87739,-73.86328
Unknown,78741,Entire home/apt,296,1,62,30.22535,-97.69327
City of Los Angeles,Sawtelle,Entire home/apt,293,30,29,34.04669,-118.46206
Unknown,28801,Entire home/apt,99,3,102,35.6024,-82.573
Unknown,Lower Garden District,Entire home/apt,200,30,43,29.94283,-90.06726
Unknown,City of Las Vegas,Entire home/apt,182,3,15,36.19313,-115.25891
Unknown,28806,Entire home/apt,150,30,0,35.58547,-82.60127
Providence,Burrillville,Entire home/apt,89,2,67,42.00703,-71.60563
Manhattan,East Harlem,Private room,95,30,0,40.79858,-73.93585
Unknown,Unincorporated Areas,Entire home/apt,1292,3,48,36.11043,-115.17353
Unknown,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire home/apt,324,31,0,38.899914,-77.033127
Unknown,Cambridgeport,Private room,111,1,114,42.36187,-71.10282
City of Los Angeles,Sherman Oaks,Private room,85,30,0,34.16217,-118.45586
Unknown,28805,Entire home/apt,107,2,122,35.57654,-82.50495
Unknown,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire home/apt,71,7,18,38.90461,-77.01486
Other Cities,Alhambra,Entire home/apt,254,1,19,34.09539,-118.13844
Unknown,Coconut Creek,Entire home/apt,49,2,7,26.32611,-80.20209
Unknown,Sloan Lake,Entire home/apt,155,1,98,39.75363,-105.03256
Manhattan,Hell's Kitchen,Private room,50,30,1,40.76557,-73.99138
Unknown,Unincorporated Areas,Entire home/apt,82,2,11,36.09664,-115.14439
Washington,Narragansett,Entire home/apt,110,1,2,41.47883,-71.43932
Unknown,Hollywood,Entire home/apt,78,1,5,26.0211009,-80.1614922
Other Cities,Long Beach,Entire home/apt,199,31,64,33.82129,-118.12262
City of Los Angeles,Watts,Shared room,14,30,4,33.93672,-118.2324
Unknown,Unincorporated Areas,Entire home/apt,85,31,0,36.9373918,-121.862721
Unknown,District 6,Entire home/apt,200,3,22,36.16798,-86.72635
Brooklyn,Sunset Park,Private room,75,1,49,40.65518,-74.00313
Unknown,Fenway,Entire home/apt,344,5,0,42.34867,-71.09971
Other Cities,Santa Monica,Entire home/apt,207,4,90,34.02515,-118.48638
Other Cities,Culver City,Entire home/apt,394,1,6,33.99251,-118.43322
Unknown,South of Market,Entire home/apt,120,30,1,37.7874798,-122.3905769
Manhattan,Upper East Side,Entire home/apt,284,6,1,40.77805,-73.94839
Unknown,San Bruno,Entire home/apt,205,31,0,37.63321,-122.42214
Queen Anne,East Queen Anne,Entire home/apt,188,2,90,47.62921,-122.34693
City of Los Angeles,Hollywood Hills,Entire home/apt,300,30,12,34.12247,-118.34812
Unknown,Hennepin,Private room,80,1,0,44.83911,-93.2561
Manhattan,Midtown,Entire home/apt,304,31,0,40.7514705,-73.9714149
Unknown,South Boston Waterfront,Entire home/apt,237,32,1,42.348761,-71.048577
Unknown,Fort Lauderdale,Entire home/apt,196,1,2,26.09161,-80.16443
Unknown,Ramsey,Entire home/apt,79,2,1,44.92786,-93.12756
Unknown,Lake View,Entire home/apt,99,32,37,41.94374,-87.65449
Manhattan,Harlem,Private room,97,1,4,40.80974,-73.94097
Unknown,Fairfax,Entire home/apt,75,3,63,37.77805,-122.20272
City of Los Angeles,Hollywood Hills,Entire home/apt,200,3,36,34.12028,-118.3221
Bronx,Wakefield,Private room,171,1,4,40.90111,-73.85837
Unknown,78753,Entire home/apt,92,2,395,30.38555,-97.6667
Unknown,Touro,Entire home/apt,115,2,193,29.92223,-90.09363
Other Cities,Manhattan Beach,Entire home/apt,190,30,2,33.90276,-118.41891
Unknown,Congress Park,Entire home/apt,160,30,0,39.7379841,-104.9437222
Unknown,City of North Las Vegas,Entire home/apt,85,3,16,36.31168,-115.19636
Brooklyn,South Slope,Private room,164,30,5,40.66587,-73.98518
Unknown,Unincorporated Areas,Entire home/apt,204,2,337,36.96468,-121.89273
Other Cities,West Hollywood,Private room,120,1,1,34.08591,-118.37753
Unknown,Outer Richmond,Entire home/apt,400,3,81,37.77572,-122.49473
Unknown,78704,Entire home/apt,3300,1,0,30.26238,-97.77025
Unknown,78750,Private room,61,4,4,30.45992,-97.799
Queens,Astoria,Private room,59,1,42,40.77015,-73.9217
Unknown,"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,258,1,16,38.9171,-77.04661
City of Los Angeles,Pacific Palisades,Entire home/apt,500,4,23,34.04788,-118.52866
City of Los Angeles,Hollywood,Entire home/apt,278,30,9,34.10084,-118.32741
Brooklyn,Greenpoint,Entire home/apt,150,30,1,40.72631,-73.95475
Brooklyn,Clinton Hill,Private room,90,2,458,40.68818,-73.96383
Unknown,78744,Private room,155,1,3,30.15964,-97.78199
Unknown,Loop,Entire home/apt,245,32,0,41.8811213,-87.63199550000002
Unknown,District 5,Entire home/apt,290,2,374,36.18327,-86.75205
Unknown,78734,Private room,250,1,0,30.37868,-97.93621
City of Los Angeles,Mar Vista,Private room,50,30,0,34.02101,-118.43876
Unknown,Wright,Entire home/apt,181,2,26,45.16908,-93.87306
West Seattle,Fauntleroy,Entire home/apt,97,1,79,47.52862,-122.39059
City of Los Angeles,Hollywood,Entire home/apt,98,31,125,34.09289,-118.34036
Unknown,78705,Private room,80,1,0,30.29054,-97.74974
Unknown,Wright,Private room,50,1,3,45.26811,-94.06788
Newport,Tiverton,Entire home/apt,250,3,81,41.62755,-71.16939
Manhattan,Upper West Side,Entire home/apt,150,30,1,40.79422,-73.97407
Unknown,Palo Alto,Entire home/apt,280,4,72,37.45083,-122.15107
Other Cities,West Hollywood,Entire home/apt,269,1,0,34.09252,-118.35534
Unknown,28801,Entire home/apt,60,28,10,35.59749,-82.55426
Queens,Ozone Park,Entire home/apt,90,1,16,40.68246,-73.84812
Unknown,Unincorporated Areas,Private room,79,2,124,37.10851,-121.59426
Unknown,Hennepin,Entire home/apt,49,30,38,44.90929,-93.22217
Unknown,San Bruno,Entire home/apt,89,1,5,37.6329471952654,-122.44695474131667
Unknown,Mira Mesa,Entire home/apt,126,1,1,32.9314812028881,-117.14153241912568
City of Los Angeles,North Hollywood,Entire home/apt,99,30,5,34.19662,-118.39214
Unknown,Unincorporated Areas,Private room,330,1,0,36.1239675,-115.167916
Unknown,Fort Lauderdale,Entire home/apt,123,1,0,26.13003,-80.13116
Unknown,Mid-City,Entire home/apt,778,2,142,29.97858,-90.10403
Unknown,Humboldt Park,Entire home/apt,48,1,161,41.908515,-87.709857
Unknown,Garden District,Entire home/apt,600,3,104,29.92698,-90.08486
Other Cities,Gardena,Private room,75,2,7,33.90807,-118.32309
Unknown,Unincorporated Areas,Entire home/apt,109,1,11,36.08665,-115.10107
Unknown,District 17,Entire home/apt,99,2,18,36.11303,-86.76811
Unknown,Virginia Village,Private room,35,30,0,39.69555,-104.92812
Unknown,Mission Bay,Entire home/apt,156,2,188,32.78626,-117.25392
Unknown,East Village,Private room,152,1,27,32.71078,-117.15894
Unknown,San Jose,Private room,1566,1,0,37.32981,-121.89134
Unknown,Unincorporated Areas,Entire home/apt,154,30,68,36.05783,-115.22728
Unknown,Little Italy,Entire home/apt,544,3,68,32.726929,-117.168953
Unknown,Redwood City,Entire home/apt,93,7,0,37.47021,-122.2247
Unknown,78757,Entire home/apt,132,2,39,30.35410929999999,-97.7177943
City of Los Angeles,Sherman Oaks,Private room,75,30,1,34.15373,-118.43837
Unknown,District 21,Entire home/apt,350,2,0,36.16159,-86.80889
Manhattan,Inwood,Private room,66,1,11,40.86781,-73.92091
Unknown,Near East,Entire home/apt,101,1,50,39.96788,-82.96665
Unknown,District 21,Entire home/apt,101,1,15,36.14217,-86.81336
Unknown,Fort Lauderdale,Entire home/apt,170,5,123,26.1786,-80.09684
Unknown,Santa Clara,Private room,55,1,8,37.34415,-121.96779
Unknown,Fort Lauderdale,Entire home/apt,129,3,81,26.13653,-80.11945
Unknown,West University Heights,Entire home/apt,135,31,0,32.753699,-117.1514618
City of Los Angeles,Van Nuys,Entire home/apt,99,30,0,34.19958,-118.46439
Unknown,78704,Entire home/apt,1153,3,71,30.2545,-97.77458
Queens,Sunnyside,Private room,62,3,8,40.74292,-73.92048
Unknown,Santa Clara,Private room,59,4,1,37.35642,-121.97689
Unknown,Norwood Park,Private room,45,3,15,41.98403,-87.81012
Unknown,Central City,Entire home/apt,315,1,26,29.939753,-90.077362
Unknown,San Mateo,Private room,100,1,8,37.53393,-122.30486
Unknown,Hennepin,Entire home/apt,129,2,84,44.91973,-93.32255
Unknown,Core,Entire home/apt,115,30,0,32.71712,-117.1645
Unknown,San Jose,Private room,80,3,10,37.30524,-121.96726
Unknown,Mission Bay,Entire home/apt,210,2,161,32.78227,-117.25158
Unknown,Unincorporated Areas,Entire home/apt,199,2,360,36.96506,-121.99116
Other Cities,Inglewood,Entire home/apt,126,1,53,33.95331,-118.35581
Ballard,Adams,Entire home/apt,129,2,27,47.67374,-122.3817
Unknown,Pacific Beach,Private room,81,1,0,32.808088358973485,-117.25892058244104
Unknown,Near North/University,Entire home/apt,220,1,4,40.00692820760546,-83.0038109428528
Manhattan,Lower East Side,Entire home/apt,150,12,9,40.7198,-73.98669
Unknown,Upper Dimond,Private room,240,30,0,37.800434,-122.209747
Unknown,City of Capitola,Entire home/apt,350,2,42,36.97878,-121.95565
Unknown,78736,Entire home/apt,349,3,0,30.23365,-97.98484
Unknown,78701,Entire home/apt,275,3,14,30.27259,-97.7486
City of Los Angeles,Beverly Grove,Entire home/apt,200,30,0,34.07557,-118.37097
Unknown,District 17,Entire home/apt,247,2,0,36.14694,-86.76702
Manhattan,Morningside Heights,Entire home/apt,100,30,5,40.80903,-73.95967
Unknown,"Mayfair, Hillbrook, Mahaning Heights",Entire home/apt,68,31,0,38.89631,-76.93638
Unknown,Hennepin,Entire home/apt,114,2,2,45.00629,-93.38347
Other Cities,Manhattan Beach,Entire home/apt,220,30,37,33.90052,-118.41604
Unknown,"Brightwood Park, Crestwood, Petworth",Entire home/apt,99,31,13,38.9561,-77.02281
Unknown,Unincorporated Areas,Hotel room,2100,1,0,36.1051,-115.16715
Washington,Narragansett,Entire home/apt,220,3,68,41.38677,-71.50976
Unknown,Near North Side,Entire home/apt,275,2,21,41.89193,-87.6353
Manhattan,East Harlem,Entire home/apt,275,1,0,40.8021124,-73.9424459
Unknown,East Palo Alto,Entire home/apt,375,3,21,37.47156,-122.13051
Unknown,Oakland Ave-Harrison St,Entire home/apt,222,3,1,37.82143,-122.25874
Unknown,Excelsior,Entire home/apt,107,2,325,37.72882,-122.42539
Unknown,Hollywood,Entire home/apt,221,2,41,26.02401,-80.13897
Unknown,Pompano Beach,Entire home/apt,186,21,1,26.2593641,-80.0847024
City of Los Angeles,Beverly Grove,Entire home/apt,410,30,1,34.07039,-118.38248
Downtown,Pike-Market,Entire home/apt,406,2,14,47.61019,-122.34559
Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,30,0,40.68667,-73.92905
City of Los Angeles,Hollywood,Entire home/apt,989,30,0,34.10112,-118.35819
Manhattan,Midtown,Entire home/apt,723,1,0,40.76383962044048,-73.98023803977044
Unknown,Unincorporated Areas,Entire home/apt,1017,1,30,36.859413,-121.814575
City of Los Angeles,Van Nuys,Private room,50,30,0,34.20245,-118.46238
Queens,Flushing,Private room,50,30,8,40.73833,-73.80764
Unknown,North Hills,Private room,138,2,1,32.7313,-117.11498
Unknown,Irving Park,Entire home/apt,440,3,87,41.95384,-87.72547
Unknown,Anoka,Entire home/apt,105,4,93,45.22649,-93.28832
Unknown,Bay Park,Private room,250,2,0,32.8006,-117.20356
Unknown,Washington Park West,Entire home/apt,213,3,8,39.711000622484114,-104.98174734413624
Brooklyn,Williamsburg,Entire home/apt,124,2,110,40.71017,-73.96217
Unknown,Redwood City,Entire home/apt,135,10,0,37.48565,-122.22058
Unknown,Normal Heights,Entire home/apt,462,3,14,32.76649,-117.11932
Newport,Newport,Entire home/apt,122,2,0,41.48311,-71.3153
City of Los Angeles,Westchester,Private room,89,30,0,33.96457,-118.39239
