neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,latitude,longitude
Manhattan,Two Bridges,Private room,70,30,0,40.71166,-73.99606
Unknown,Unincorporated Areas,Entire home/apt,265,1,16,36.10381,-115.13902
Unknown,78751,Entire home/apt,150,1,15,30.31822,-97.71119
Unknown,Unincorporated Areas,Entire home/apt,264,2,38,36.13603,-115.12449
Brooklyn,Williamsburg,Entire home/apt,175,2,49,40.70525,-73.93142
Unknown,District 5,Entire home/apt,296,3,29,36.18674,-86.77145
Unknown,78745,Private room,44,30,0,30.20046,-97.78163
Manhattan,Hell's Kitchen,Private room,66,12,0,40.75931293247008,-73.99526028472906
Manhattan,Theater District,Entire home/apt,100,30,5,40.75995,-73.98617
Unknown,Pompano Beach,Entire home/apt,90,2,36,26.2263,-80.09147
Unknown,Lauderdale By The Sea,Entire home/apt,180,90,1,26.21318,-80.09282
University District,University District,Entire home/apt,133,1,5,47.6609,-122.31287
Unknown,South Boston,Entire home/apt,278,1,821,42.3357,-71.05395
Brooklyn,East New York,Entire home/apt,95,1,0,40.6682,-73.8595
Brooklyn,Bushwick,Entire home/apt,135,5,9,40.70189,-73.93303
Unknown,Northwest,Entire home/apt,139,90,0,32.65029,-117.06702
Unknown,District 17,Entire home/apt,2029,3,80,36.14271,-86.79362
City of Los Angeles,Mid-City,Private room,113,2,53,34.03885,-118.37944
Unknown,Pacific Heights,Private room,142,3,64,37.78954,-122.44656
Brooklyn,Bushwick,Private room,62,30,5,40.69852,-73.92433
Unknown,78745,Entire home/apt,365,3,27,30.18884,-97.78428
Unknown,Castro/Upper Market,Private room,158,1,480,37.76183,-122.44209
Unknown,Pompano Beach,Entire home/apt,156,2,338,26.23182,-80.10893
Unknown,78701,Entire home/apt,154,2,69,30.256454,-97.738831
Other Cities,Rosemead,Private room,65,1,78,34.06097,-118.09205
Unknown,District 19,Entire home/apt,301,2,0,36.15515,-86.76496
Unknown,Santa Clara,Entire home/apt,475,3,22,37.39651,-121.95792
Newport,Middletown,Entire home/apt,971,3,20,41.50464,-71.29927
Unknown,Hallandale Beach,Entire home/apt,118,1,2,25.98487,-80.12313
Unincorporated Areas,Altadena,Entire home/apt,147,2,30,34.190728,-118.1315834
Unknown,Temescal,Entire home/apt,120,30,0,37.83154,-122.25874
Providence,Providence,Entire home/apt,148,20,3,41.8235,-71.42886
Unknown,Ward C (councilmember Richard Boggiano),Private room,105,1,39,40.73103,-74.05864
City of Los Angeles,Boyle Heights,Entire home/apt,71,30,29,34.04282,-118.21951
Unknown,Downtown,Entire home/apt,97,2,90,42.35624,-71.06101
City of Los Angeles,Westwood,Private room,85,30,15,34.08139,-118.43384
Unknown,Unincorporated Areas,Entire home/apt,249,3,1,36.10005,-115.21285
Unknown,Nob Hill,Private room,109,30,5,37.79575,-122.41056
City of Los Angeles,West Hills,Entire home/apt,408,30,1,34.19947,-118.64545
Unknown,Near South,Entire home/apt,106,1,2,39.95016,-82.9539
Unknown,Fort Lauderdale,Entire home/apt,195,2,42,26.12515,-80.12203
Unknown,West Colfax,Private room,93,2,126,39.74205,-105.03741
Brooklyn,Sheepshead Bay,Entire home/apt,76,15,205,40.5973,-73.96166
Unknown,"Union Station, Stanton Park, Kingman Park",Entire home/apt,650,31,0,38.89708,-76.99935
Brooklyn,Gowanus,Entire home/apt,460,30,0,40.6817,-73.9902
Unknown,Ocean Beach,Entire home/apt,184,1,56,32.73793,-117.25426
Unknown,Brighton,Private room,120,1,26,42.34384,-71.14559
Unincorporated Areas,Rowland Heights,Entire home/apt,68,3,5,33.99001,-117.9164
Manhattan,Gramercy,Private room,63,30,51,40.73375,-73.98746
City of Los Angeles,Cheviot Hills,Entire home/apt,245,364,2,34.03752,-118.41359
Brooklyn,Prospect-Lefferts Gardens,Private room,110,3,3,40.65943,-73.94368
Manhattan,Harlem,Entire home/apt,90,7,4,40.81024,-73.95288
Unknown,Mid-City,Entire home/apt,362,1,0,29.969935931627056,-90.09131393348162
Unknown,Washington,Entire home/apt,129,2,39,44.91215,-92.96923
Brooklyn,Vinegar Hill,Entire home/apt,150,30,2,40.70082,-73.98382
Cascade,South Lake Union,Entire home/apt,187,31,0,47.62028770000001,-122.3407099
Unknown,Fort Lauderdale,Entire home/apt,192,1,13,26.13819,-80.11038
Manhattan,Kips Bay,Entire home/apt,110,30,0,40.7446,-73.97896
Unknown,Milan,Entire home/apt,355,2,14,29.92849,-90.09128
Unknown,Western Addition,Private room,235,2,36,37.77565,-122.42355
Unknown,Outer Mission,Private room,55,10,70,37.73119,-122.45014
City of Los Angeles,Mid-City,Entire home/apt,109,45,24,34.04232,-118.34363
Bronx,Wakefield,Private room,54,7,50,40.88986,-73.85775
Unknown,Hennepin,Entire home/apt,62,1,283,44.92808,-93.40916
Unknown,Hallandale Beach,Entire home/apt,115,3,5,25.98537,-80.12193
Unknown,Five Points,Entire home/apt,241,2,4,39.75670156940431,-104.97685590740969
Unknown,City of Las Vegas,Entire home/apt,210,2,100,36.12983,-115.31065
Unknown,North Hills,Entire home/apt,190,2,10,32.7463,-117.12213
Unknown,Central City,Entire home/apt,287,1,128,29.94199,-90.07698
City of Los Angeles,Hollywood,Entire home/apt,108,31,12,34.1022,-118.34248
Unknown,Nob Hill,Entire home/apt,363,1,38,37.79178,-122.41928
Unknown,Sabin,Entire home/apt,91,2,175,45.55292,-122.65566
Unknown,District 8,Entire home/apt,125,2,317,36.25995,-86.72013
Unknown,City of Las Vegas,Entire home/apt,96,30,0,36.17011,-115.16928
Unknown,Montavilla,Entire home/apt,245,2,89,45.51674,-122.57129
Unknown,Five Points,Shared room,44,1,71,39.75305,-104.9907
City of Los Angeles,Beverly Crest,Private room,350,2,50,34.11903,-118.43505
City of Los Angeles,Venice,Entire home/apt,95,30,46,33.995,-118.46272
Manhattan,Harlem,Private room,79,1,157,40.82897,-73.93946
Unknown,"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,179,32,0,38.916519,-77.02343
City of Los Angeles,Hollywood,Entire home/apt,157,3,1,34.10329,-118.34856
Unknown,78702,Entire home/apt,77,35,2,30.25754,-97.71286
Queens,Woodside,Private room,35,30,1,40.74585,-73.89837
Unincorporated Areas,South Whittier,Entire home/apt,55,4,42,33.93448,-118.03053
Queens,Flushing,Entire home/apt,69,1,0,40.72689895863895,-73.81076143606163
Unknown,Villa Park,Entire home/apt,89,1,37,39.73045,-105.03641
Unknown,Unincorporated Areas,Entire home/apt,132,30,20,36.11592,-115.29464
Unknown,Lincoln Park,Entire home/apt,173,32,2,41.93068299999999,-87.64237229999998
Other Cities,Pasadena,Entire home/apt,282,2,19,34.15007,-118.08961
Unknown,Seventh Ward,Entire home/apt,385,2,20,29.971212,-90.070572
Manhattan,Harlem,Private room,55,30,2,40.81934,-73.95229
Unknown,Five Points,Entire home/apt,67,30,2,39.75449,-104.98826
Unknown,Hennepin,Entire home/apt,102,2,107,44.97049,-93.21914
Unknown,78758,Entire home/apt,109,30,3,30.40315,-97.72151
Unknown,Near North/University,Entire home/apt,502,1,319,39.98181,-83.01309
City of Los Angeles,Silver Lake,Private room,150,30,1,34.09554,-118.27719
Manhattan,Hell's Kitchen,Private room,100,2,5,40.7631,-73.98704
Other Cities,Hermosa Beach,Private room,315,1,2,33.86178,-118.40179
Unknown,Cole,Entire home/apt,132,2,20,39.76988,-104.96455
Unknown,Cortez Hill,Private room,450,3,0,32.71939,-117.15915
Unknown,Central Business District,Entire home/apt,145,2,126,29.95426,-90.07153
Unknown,Five Points,Entire home/apt,134,31,0,39.7579464,-104.9839476
Unknown,Area 2/MIT,Entire home/apt,228,32,0,42.36288,-71.08784
Unknown,Pompano Beach,Entire home/apt,193,1,25,26.2509,-80.08612
City of Los Angeles,Sherman Oaks,Private room,89,30,0,34.16419,-118.45466
Unknown,Lower West Side,Entire home/apt,157,2,34,41.85344,-87.66908
Brooklyn,Clinton Hill,Private room,59,30,2,40.68319,-73.96467
Unknown,Unincorporated Areas,Entire home/apt,525,2,20,37.0309,-122.09124
Unknown,Unincorporated Areas,Private room,1922,1,0,36.1182022,-115.1716411
Other Cities,Monrovia,Entire home/apt,140,2,65,34.16269,-118.00904
Unknown,Ocean Beach,Entire home/apt,303,3,73,32.7463,-117.25287
Unknown,Treme - Lafitte,Entire home/apt,231,1,49,29.96935,-90.06913
Queens,Jackson Heights,Private room,32,30,0,40.75107,-73.87837
Unknown,District 17,Entire home/apt,175,2,55,36.1393,-86.79557
Unknown,28805,Entire home/apt,165,30,0,35.5927417,-82.50604659999999
Unknown,Old Town,Entire home/apt,125,3,20,32.74843,-117.18964
Brooklyn,Flatbush,Private room,45,30,7,40.64206,-73.95667
City of Los Angeles,Van Nuys,Entire home/apt,187,30,62,34.20094,-118.47047
Brooklyn,Flatbush,Private room,120,30,0,40.64868,-73.96707
Unknown,District 15,Entire home/apt,300,30,54,36.15286,-86.66666
City of Los Angeles,Mid-Wilshire,Entire home/apt,264,30,0,34.06333,-118.35184
Unknown,San Bruno,Private room,69,1,229,37.62535,-122.41574
Unknown,Dorchester,Entire home/apt,150,2,13,42.31607,-71.07184
Unknown,"Brightwood Park, Crestwood, Petworth",Entire home/apt,86,2,9,38.94368,-77.02
Brooklyn,Greenpoint,Entire home/apt,151,30,1,40.72937,-73.95451
Unknown,Fort Lauderdale,Entire home/apt,115,2,31,26.14709,-80.14484
Unknown,Downtown/Civic Center,Entire home/apt,392,2,21,37.78827,-122.41137
Unknown,District 19,Private room,100,1,0,36.15466,-86.78859
Unknown,City of Las Vegas,Private room,71,2,2,36.19505,-115.2643
Other Cities,Sierra Madre,Private room,94,1,51,34.16125,-118.04887
Unknown,Ward C (councilmember Richard Boggiano),Private room,114,1,152,40.73132,-74.05905
Brooklyn,Bedford-Stuyvesant,Entire home/apt,95,30,4,40.69367,-73.95569
Unknown,Downtown/Civic Center,Entire home/apt,240,31,2,37.78753,-122.421312
Manhattan,Financial District,Entire home/apt,200,30,1,40.70526,-74.00992
Queens,Woodhaven,Private room,55,30,31,40.69324,-73.86437
Unknown,Bayview,Private room,44,30,13,37.71859,-122.39424
Unknown,Sunrise,Entire home/apt,337,4,26,26.18557,-80.26916
Unknown,78702,Entire home/apt,81,1,4,30.26842611611687,-97.70138271064222
Queens,Fresh Meadows,Private room,40,30,18,40.74217,-73.7889
Unknown,"Sheridan, Barry Farm, Buena Vista",Entire home/apt,390,31,0,38.8608,-76.98895
Unknown,Talmadge,Entire home/apt,176,4,310,32.765217,-117.093178
Other Cities,Glendale,Entire home/apt,202,1,1,34.1452,-118.24803
Unknown,Near East,Private room,50,30,1,39.97727,-82.95738
Unknown,Gaslamp Quarter,Entire home/apt,167,2,90,32.71368,-117.16053
Central Area,Leschi,Entire home/apt,175,30,0,47.60684,-122.2919
Unknown,Milan,Entire home/apt,164,2,323,29.93217,-90.10071
Unknown,Dillard,Entire home/apt,146,3,20,30.00269,-90.06597
Unknown,Brighton,Entire home/apt,179,32,0,42.34727,-71.14549
Unknown,Mission Hill,Private room,74,91,0,42.333498017815664,-71.10338601467214
Manhattan,Theater District,Private room,201,1,13,40.75949,-73.98606
Providence,Providence,Private room,40,1,355,41.85521,-71.42678
Other Cities,Glendale,Entire home/apt,138,30,44,34.170041,-118.226542
Manhattan,Murray Hill,Private room,366,4,16,40.74763,-73.97329
Washington,Narragansett,Entire home/apt,280,3,84,41.50088,-71.43634
Unknown,Loma Portal,Entire home/apt,65,2,207,32.73228,-117.24117
Unknown,Hallandale Beach,Entire home/apt,263,2,45,25.99165,-80.13999
City of Los Angeles,Downtown,Entire home/apt,135,30,0,34.04471025060046,-118.25200628489256
Unknown,Unincorporated Areas,Entire home/apt,995,3,27,36.9644,-121.8982
Unknown,Unincorporated Areas,Entire home/apt,234,2,30,36.12412,-115.22899
Unknown,San Jose,Private room,35,3,19,37.3828,-121.8399
Manhattan,Inwood,Private room,80,30,50,40.86168,-73.92924
Unknown,Hollywood,Entire home/apt,520,3,16,25.98702,-80.11957
Unknown,78757,Entire home/apt,165,1,1,30.33869,-97.73607
Other Cities,Beverly Hills,Entire home/apt,150,1,0,34.06049,-118.38505
City of Los Angeles,Hollywood Hills,Private room,169,30,0,34.10547,-118.34314
Other neighborhoods,Wallingford,Entire home/apt,75,1,329,47.653130629400245,-122.32920956157008
City of Los Angeles,Venice,Entire home/apt,135,31,321,33.99033,-118.47503
City of Los Angeles,Sawtelle,Entire home/apt,357,30,175,34.04236,-118.46605
Other Cities,Hermosa Beach,Private room,830,1,26,33.86178,-118.40164
Manhattan,West Village,Private room,75,30,4,40.73957,-74.00397
Unknown,Inner Sunset,Entire home/apt,89,30,0,37.76284,-122.45229
Unknown,West Town,Entire home/apt,128,2,52,41.8941,-87.69411
Brooklyn,Bushwick,Entire home/apt,95,1,181,40.69415,-73.92415
City of Los Angeles,Mar Vista,Entire home/apt,674,1,3,34.00516,-118.44558
